id,title,date,category,summary,description,thumbnail,teamImage,totalResultImage,archiveUrl,edYoutubeUrl,memo
waika-vol1,ワイカですがなにか？vo.1,2026-05-30,Apexワイルドカードカスタム,ワイルドカード形式のApexカスタム大会,大会概要を入力,/images/wildcard-custom/waika-vol1/thumbnail.png,/images/wildcard-custom/waika-vol1/team-list.png,/images/wildcard-custom/waika-vol1/result-total.png,,,
waika-vol2,ワイカですがなにか？vo.2,2026-07-04,Apexワイルドカードカスタム,準備中,準備中,/images/wildcard-custom/waika-vol2/thumbnail.png,/images/wildcard-custom/waika-vol2/team-list.png,/images/wildcard-custom/waika-vol2/result-total.png,,,
