id,title,date,category,summary,description,thumbnail,teamImage,totalResultImage,archiveUrl,edYoutubeUrl,memo
yutori-fes-vol1,ゆとり祭り,2026-05-16,Apexカスタム,通常Apexカスタム大会,大会概要を入力,/images/apex-custom/yutori-fes-vol1/thumbnail.png,/images/apex-custom/yutori-fes-vol1/team-list.png,/images/apex-custom/yutori-fes-vol1/result-total.png,,,
yutori-fes-vol2,Coming Soon ...,2026-07-01,Apexカスタム,準備中,準備中,/images/apex-custom/yutori-fes-vol2/thumbnail.png,/images/apex-custom/yutori-fes-vol2/team-list.png,/images/apex-custom/yutori-fes-vol2/result-total.png,,,
